Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF","TantalC_SizeC_Reflow",29.8383,27.5261,-90.0000,bottom
"C2","100nF","SMD-0805",11.5443,20.3811,0.0000,bottom
"C3","4u7","SMD-0805",17.0105,5.3011,180.0000,bottom
"C4","10uF","SMD-0805",26.2255,30.8840,180.0000,bottom
"C5","1pFNP0 251R15S1R0AV4E","SMD-0805",22.2183,6.8886,-90.0000,bottom
"C6","10uF","SMD-0805",22.5105,19.7791,0.0000,bottom
"C7","10uF","SMD-0805",21.2023,40.0991,180.0000,bottom
"C8","10uF","SMD-0805",13.0743,33.2411,180.0000,bottom
"C9","10uF","SMD-0805",29.2033,40.2261,0.0000,bottom
"C10","100nF","SMD-0805",22.2183,10.3811,-90.0000,bottom
"C11","100nF","SMD-0805",22.5105,17.8000,0.0000,bottom
"C12","100nF","SMD-0805",21.2023,37.8131,180.0000,bottom
"C13","100nF","SMD-0805",13.0743,35.5271,180.0000,bottom
"C14","100nF","SMD-0805",29.2033,42.7661,0.0000,bottom
"C15","3n3","SMD-0805",18.7258,20.2871,180.0000,bottom
"C16","100nF","SMD-0805",18.6055,22.3750,0.0000,bottom
"C17","4u7","SMD-0805",16.2560,29.8045,-90.0000,bottom
"C18","2n2","SMD-0805",22.2818,27.1451,180.0000,bottom
"C19","1nF/NP0","SMD-0805",17.3923,37.8131,180.0000,bottom
"C20","100nF","SMD-0805",26.5363,10.1271,0.0000,bottom
"C21","10uF","SMD-0805",11.5443,24.4451,0.0000,bottom
"C23","10uF","SMD-0805",11.5443,22.4131,0.0000,bottom
"C24","1uF","SMD-0805",11.4808,18.0951,0.0000,bottom
"C26","100nF","SMD-0805",23.8760,78.1915,90.0000,bottom
"C27","100nF","SMD-0805",21.5900,78.0645,90.0000,bottom
"C28","100nF","SMD-0805",19.5580,78.0645,90.0000,bottom
"C30","100nF","SMD-0805",12.3190,53.4265,-90.0000,bottom
"C31","100nF","SMD-0805",16.1290,71.7780,180.0000,bottom
"C32","100nF","SMD-0805",28.5115,65.0470,0.0000,bottom
"C34","100nF","SMD-0805",16.7500,54.7730,90.0000,bottom
"C35","100nF","SMD-0805",28.5115,67.3330,0.0000,bottom
"C36","10uF","SMD-0805",24.1935,81.8110,0.0000,bottom
"C38","15pF","SMD-0805",68.3560,63.4076,0.0000,bottom
"C39","100nF","SMD-0805",9.9060,63.0785,90.0000,bottom
"C40","10uF","SMD-0805",20.0025,74.0640,180.0000,bottom
"C41","15pF","SMD-0805",72.5460,63.4076,0.0000,bottom
"C42","10uF","SMD-0805",30.5435,56.1570,180.0000,bottom
"C43","4u7","SMD-0805",15.0495,50.9500,180.0000,bottom
"C44","100nF","SMD-0805",19.4945,71.7780,180.0000,bottom
"C47","100nF","SMD-0805",11.4300,76.7945,90.0000,bottom
"C50","10uF","SMD-0805",30.5435,53.8710,180.0000,bottom
"C54","100nF","SMD-0805",28.5750,49.8705,90.0000,bottom
"C55","100nF","SMD-0805",26.4160,85.9385,-90.0000,bottom
"D3","BZV55C-5,6V","D_MiniMELF",18.2600,83.3350,180.0000,bottom
"F2","100mA","SMD-0805",19.0500,87.5895,90.0000,bottom
"L1","10uH - LQH32CN100K23L","SMD-1210",16.3830,75.3340,-90.0000,bottom
"L3","DFE252012P-4R7M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.7020,62.7610,0.0000,bottom
"M8","BMI-S-210-F","Laird_Technologies_BMI-S-210-F_44.00x30.50mm",19.3040,68.8570,90.0000,bottom
"R1","10R","SMD-0805",11.5503,42.3851,180.0000,bottom
"R2","470R","SMD-0805",21.2658,15.4611,0.0000,bottom
"R3","470R","SMD-0805",25.3933,35.7811,0.0000,bottom
"R4","470R","SMD-0805",13.0743,30.9551,180.0000,bottom
"R5","470R","SMD-0805",28.5683,37.0511,-90.0000,bottom
"R6","10M","SMD-0805",24.7583,6.8886,-90.0000,bottom
"R7","10k","SMD-0805",16.2130,16.0025,-90.0000,bottom
"R8","1k","SMD-0805",15.1698,18.8000,180.0000,bottom
"R9","4k7","SMD-0805",19.0105,18.0500,180.0000,bottom
"R10","1k","SMD-0805",18.6055,24.4070,180.0000,bottom
"R11","4k7","SMD-0805",22.2818,24.8591,180.0000,bottom
"R12","10k","SMD-0805",21.5833,42.7661,180.0000,bottom
"R13","2k2","SMD-0805",18.1543,40.6071,90.0000,bottom
"R15","4k7","SMD-0805",7.9883,27.0486,90.0000,bottom
"R19","4k7","SMD-0805",7.9883,23.2386,90.0000,bottom
"R20","10k","SMD-0805",12.5095,73.4290,0.0000,bottom
"R21","10k","SMD-0805",8.9535,60.2210,0.0000,bottom
"R22","4k7","SMD-0805",7.9883,19.4286,90.0000,bottom
"R23","10k","SMD-0805",17.7800,51.1786,90.0000,bottom
"U1","OPA2314","SOIC-8_3.9x4.9mm_Pitch1.27mm",18.4083,10.3811,90.0000,bottom
"U2","OPA2314","SOIC-8_3.9x4.9mm_Pitch1.27mm",20.4403,32.7331,90.0000,bottom
"U3","ISL21080DIH312Z-TK  1V25","SOT-23",26.5363,15.4771,90.0000,bottom
"U4","TS7211","SOT-23-5_HandSoldering",12.5663,38.8291,180.0000,bottom
"U5","TS5A4594","SOT-23-5_HandSoldering",25.3933,41.4961,90.0000,bottom
"U6","AT24CS64-SSHM","SOIC-8_3.9x4.9mm_P1.27mm",8.3820,54.8870,90.0000,bottom
"U8","TPS613222ADBV","SOT-23-5",30.7340,59.4590,-90.0000,bottom
"U10","ATMEGA1284P-AU","TQFP-44_10x10mm_P0.8mm",18.4963,63.8191,90.0000,bottom
"U11","PCF85263A","TSSOP-10_3x3mm_Pitch0.5mm",8.3820,74.9530,-90.0000,bottom
